city,year,month,day,avg(la),avg(AQI),avg(lo)
天津,2019,2,28,38.0,200.89361702127658,117.0
厦门,2019,2,13,25.0,31.0,119.0
厦门,2019,1,6,24.0,31.72258064516129,118.0
北京,2019,2,12,40.0,47.42857142857143,116.0
上海,2019,1,21,31.0,64.4290780141844,121.0
成都,2018,8,11,31.0,61.432,104.0
北京,2018,8,22,39.0,54.09569377990431,116.0
上海,2019,6,10,31.0,49.64039408866995,121.0
青岛,2019,2,4,37.0,108.95833333333333,119.0
呼和浩特,2018,8,17,41.0,26.666666666666668,111.0
昆明,2019,2,26,25.0,34.702127659574465,103.0
北京,2019,1,9,39.0,64.35384615384615,117.0
上海,2018,8,24,30.0,72.45,120.0
济南,2019,1,23,37.0,105.8125,116.0
天津,2019,1,27,39.0,104.125,118.0
天津,2019,6,10,40.0,60.67741935483871,116.0
北京,2019,1,17,38.0,144.71428571428572,117.0
海口,2019,1,18,19.0,41.916666666666664,110.0
乌鲁木齐,2019,1,18,43.0,171.21259842519686,87.0
天津,2019,2,7,39.0,36.44933920704846,116.0
青岛,2018,8,1,37.0,60.333333333333336,119.0
乌鲁木齐,2018,8,17,43.0,38.75,88.0
上海,2019,2,23,31.0,164.9811320754717,121.0
青岛,2019,1,16,36.0,56.41638225255973,120.0
北京,2019,2,10,40.0,32.675925925925924,116.0
青岛,2019,1,28,36.0,87.6590909090909,119.0
天津,2019,2,14,39.0,69.93288590604027,116.0
青岛,2018,8,26,35.0,39.333333333333336,119.0
上海,2018,8,27,31.0,32.39224137931034,121.0
海口,2018,8,11,20.0,22.6056338028169,110.0
海口,2019,2,13,20.0,26.17142857142857,110.0
昆明,2018,8,27,25.0,74.29333333333334,102.0
北京,2018,8,24,38.0,50.34090909090909,115.0
郑州,2019,2,19,35.0,112.15789473684211,112.0
昆明,2019,2,2,25.0,36.25,103.0
上海,2019,2,9,31.0,27.86315789473684,121.0
成都,2018,8,21,31.0,63.717948717948715,104.0
济南,2019,1,28,36.0,94.46610169491525,117.0
天津,2019,2,1,40.0,58.07142857142857,116.0
青岛,2018,8,21,37.0,46.833333333333336,119.0
北京,2019,2,26,39.0,51.61176470588235,117.0
乌鲁木齐,2018,8,13,44.0,35.63636363636363,87.0
青岛,2018,8,12,36.0,37.43321299638989,120.0
成都,2019,2,16,30.0,75.28235294117647,104.0
济南,2018,8,6,36.0,60.939655172413794,116.0
上海,2019,2,1,31.0,91.84710743801652,120.0
青岛,2018,8,13,35.0,34.509803921568626,119.0
北京,2019,2,7,38.0,69.66666666666667,115.0
厦门,2018,8,19,25.0,46.21052631578947,117.0
天津,2019,1,8,40.0,30.26865671641791,116.0
北京,2018,8,25,39.0,79.22222222222223,117.0
济南,2019,1,25,36.0,105.10121457489879,117.0
郑州,2019,6,8,35.0,60.93478260869565,112.0
乌鲁木齐,2019,2,11,43.0,100.17021276595744,87.0
上海,2018,8,12,31.0,31.51372549019608,120.0
上海,2019,1,4,31.0,49.213178294573645,120.0
昆明,2018,8,22,25.0,47.082352941176474,102.0
海口,2019,1,17,20.0,46.42372881355932,110.0
成都,2019,2,26,31.0,59.84117647058824,104.0
北京,2019,2,8,38.0,57.5,115.0
上海,2019,6,9,31.0,54.22885572139303,120.0
天津,2019,6,10,38.0,77.17910447761194,117.0
郑州,2019,1,29,35.0,213.97029702970298,113.0
上海,2019,2,14,31.0,47.13669064748201,120.0
济南,2019,1,10,36.0,114.19444444444444,115.0
青岛,2019,1,10,36.0,70.53815261044177,120.0
上海,2019,1,29,31.0,90.56842105263158,120.0
呼和浩特,2018,8,2,40.0,58.58974358974359,111.0
昆明,2018,8,27,24.0,69.82926829268293,102.0
郑州,2019,1,22,35.0,55.447513812154696,113.0
乌鲁木齐,2019,1,4,43.0,230.91275167785236,87.0
乌鲁木齐,2019,1,31,44.0,98.46153846153847,87.0
成都,2018,8,24,30.0,47.0,103.0
青岛,2019,2,4,36.0,126.87925696594428,120.0
厦门,2019,1,4,25.0,30.696969696969695,119.0
济南,2019,1,15,36.0,164.01470588235293,116.0
乌鲁木齐,2018,8,13,43.0,36.111111111111114,88.0
成都,2018,8,23,30.0,43.375,103.0
北京,2019,1,22,40.0,58.11926605504587,116.0
天津,2019,1,17,39.0,120.42913385826772,117.0
郑州,2019,1,16,34.0,91.79166666666667,113.0
厦门,2019,2,27,24.0,56.82183908045977,118.0
乌鲁木齐,2018,8,22,42.0,100.77777777777777,89.0
郑州,2019,2,6,35.0,257.7362637362637,113.0
厦门,2018,8,8,25.0,38.94444444444444,119.0
郑州,2019,2,16,35.0,159.95238095238096,113.0
成都,2018,8,7,30.0,42.810810810810814,104.0
青岛,2019,1,4,35.0,185.75757575757575,119.0
昆明,2018,8,9,24.0,36.25,102.0
郑州,2019,2,2,34.0,134.6508875739645,113.0
济南,2018,8,28,37.0,51.666666666666664,116.0
乌鲁木齐,2019,1,4,42.0,485.2888888888889,89.0
呼和浩特,2019,2,28,40.0,85.94708994708995,111.0
济南,2019,1,1,36.0,143.94117647058823,116.0
青岛,2018,8,25,37.0,48.705882352941174,119.0
上海,2019,6,8,31.0,41.318897637795274,121.0
济南,2019,2,15,36.0,152.64583333333334,115.0
厦门,2018,8,9,25.0,55.26315789473684,117.0
厦门,2018,8,2,25.0,24.22222222222222,118.0
乌鲁木齐,2018,8,16,43.0,88.67469879518072,87.0
北京,2019,1,15,38.0,66.48837209302326,115.0
呼和浩特,2019,1,12,40.0,149.40555555555557,111.0
北京,2018,8,11,40.0,43.3,116.0
成都,2019,2,13,31.0,77.54696132596685,104.0
厦门,2019,1,5,24.0,74.34328358208955,117.0
上海,2019,1,12,31.0,66.9407114624506,120.0
厦门,2019,1,25,25.0,47.1578947368421,118.0
郑州,2019,1,17,34.0,94.9247311827957,114.0
乌鲁木齐,2018,8,1,43.0,23.166666666666668,88.0
郑州,2019,1,14,33.0,261.95238095238096,113.0
上海,2019,2,25,31.0,97.24742268041237,121.0
济南,2019,2,14,36.0,96.40178571428571,117.0
北京,2019,1,1,38.0,140.46511627906978,115.0
济南,2019,1,21,37.0,114.08333333333333,116.0
天津,2019,2,9,40.0,22.636363636363637,116.0
青岛,2019,2,13,36.0,81.10402684563758,120.0
天津,2019,1,26,39.0,41.858369098712444,116.0
青岛,2018,8,22,35.0,62.27777777777778,120.0
郑州,2019,2,10,35.0,76.95027624309392,113.0
成都,2018,8,12,30.0,34.64102564102564,103.0
青岛,2019,2,17,35.0,49.73684210526316,120.0
北京,2019,2,28,38.0,226.23076923076923,115.0
天津,2019,2,3,39.0,144.79861111111111,118.0
济南,2018,8,23,36.0,60.03125,115.0
青岛,2019,2,6,35.0,147.7,120.0
上海,2019,2,7,31.0,50.51063829787234,121.0
青岛,2019,1,25,37.0,48.42857142857143,119.0
天津,2019,6,10,39.0,65.78378378378379,116.0
郑州,2019,2,16,35.0,133.7310924369748,112.0
厦门,2019,2,6,25.0,81.79166666666667,119.0
海口,2018,8,19,19.0,22.92105263157895,110.0
郑州,2019,1,2,35.0,185.00574712643677,113.0
海口,2018,8,18,20.0,22.90909090909091,110.0
海口,2019,1,27,20.0,53.01428571428571,110.0
郑州,2018,8,5,33.0,56.94827586206897,113.0
昆明,2018,8,19,25.0,61.8421052631579,103.0
北京,2019,1,7,40.0,54.186440677966104,116.0
厦门,2019,1,2,25.0,18.476190476190474,118.0
郑州,2019,2,1,33.0,105.64150943396227,113.0
郑州,2018,8,20,34.0,35.64705882352941,114.0
上海,2019,2,26,30.0,84.16666666666667,120.0
成都,2019,1,3,30.0,88.125,103.0
天津,2018,8,26,39.0,61.44444444444444,118.0
郑州,2019,1,19,35.0,175.36507936507937,113.0
北京,2018,8,22,40.0,37.50684931506849,116.0
乌鲁木齐,2019,2,16,42.0,105.19148936170212,89.0
天津,2018,8,3,39.0,91.11042944785277,117.0
北京,2019,1,15,40.0,48.75229357798165,116.0
济南,2018,8,1,36.0,74.33561643835617,116.0
成都,2019,2,28,31.0,57.57142857142857,103.0
昆明,2018,8,24,24.0,46.0,102.0
青岛,2019,2,24,37.0,84.45833333333333,119.0
上海,2019,1,30,31.0,47.224264705882355,121.0
北京,2019,2,4,38.0,155.1904761904762,117.0
济南,2019,1,24,36.0,130.05882352941177,115.0
乌鲁木齐,2018,8,11,43.0,43.13333333333333,88.0
济南,2018,8,10,36.0,99.83783783783784,117.0
青岛,2019,1,14,36.0,229.58064516129033,119.0
郑州,2019,1,23,35.0,90.41317365269461,113.0
郑州,2019,6,8,34.0,74.96875,114.0
昆明,2018,8,4,24.0,19.651162790697676,102.0
乌鲁木齐,2018,8,6,42.0,47.125,89.0
厦门,2019,2,20,25.0,102.66666666666667,118.0
郑州,2018,8,25,35.0,102.99019607843137,112.0
成都,2019,2,3,30.0,64.37719298245614,103.0
乌鲁木齐,2018,8,16,44.0,59.55882352941177,87.0
北京,2019,1,18,40.0,74.09401709401709,116.0
乌鲁木齐,2019,1,11,44.0,190.52941176470588,87.0
呼和浩特,2018,8,6,40.0,50.067567567567565,111.0
北京,2018,8,10,40.0,64.66153846153846,116.0
天津,2019,1,16,39.0,76.5,116.0
成都,2018,8,4,30.0,49.0,104.0
青岛,2018,8,10,35.0,60.411764705882355,120.0
厦门,2019,2,16,24.0,49.67272727272727,117.0
北京,2019,1,5,39.0,33.06967213114754,116.0
郑州,2019,1,5,34.0,130.0,114.0
海口,2019,2,15,19.0,22.822222222222223,110.0
郑州,2019,2,24,34.0,240.72727272727272,114.0
乌鲁木齐,2018,8,25,42.0,54.714285714285715,89.0
厦门,2018,8,21,25.0,35.333333333333336,118.0
海口,2019,1,19,20.0,44.96875,110.0
天津,2019,1,31,40.0,24.166666666666668,116.0
呼和浩特,2019,1,17,40.0,100.41975308641975,111.0
北京,2019,1,15,38.0,116.47368421052632,117.0
厦门,2019,2,2,24.0,45.744680851063826,118.0
上海,2019,1,23,32.0,163.5737704918033,120.0
青岛,2019,1,31,37.0,43.76470588235294,119.0
济南,2019,1,23,36.0,110.27467811158799,117.0
北京,2018,8,1,40.0,82.8125,116.0
厦门,2019,2,2,25.0,33.43478260869565,118.0
青岛,2019,2,11,35.0,129.20833333333334,120.0
上海,2019,2,8,31.0,27.91919191919192,121.0
昆明,2019,1,2,25.0,29.44705882352941,102.0
郑州,2019,2,11,34.0,103.67105263157895,114.0
郑州,2018,8,19,34.0,17.548387096774192,114.0
海口,2018,8,8,20.0,31.584615384615386,110.0
成都,2019,2,4,30.0,80.10416666666667,104.0
成都,2019,2,5,30.0,135.8515625,104.0
天津,2019,1,10,39.0,123.46969696969697,117.0
郑州,2019,2,26,33.0,179.73611111111111,113.0
天津,2018,8,15,38.0,44.787234042553195,117.0
郑州,2019,1,8,35.0,252.2406015037594,112.0
昆明,2019,2,23,25.0,54.977777777777774,103.0
济南,2019,2,11,37.0,136.2,116.0
上海,2019,2,22,32.0,84.75,120.0
郑州,2018,8,16,35.0,47.34285714285714,112.0
北京,2019,1,6,38.0,80.0625,117.0
乌鲁木齐,2019,1,20,44.0,66.38461538461539,87.0
上海,2019,1,19,30.0,109.86111111111111,120.0
青岛,2019,1,29,35.0,56.022222222222226,120.0
上海,2019,6,9,31.0,42.973584905660374,121.0
郑州,2019,2,16,34.0,125.53488372093024,114.0
北京,2019,1,8,38.0,192.5909090909091,115.0
厦门,2019,2,9,24.0,24.134146341463413,118.0
厦门,2019,1,22,25.0,87.03333333333333,119.0
北京,2019,6,9,39.0,29.530434782608694,116.0
厦门,2019,1,28,24.0,69.01388888888889,117.0
上海,2018,8,20,32.0,55.101694915254235,120.0
乌鲁木齐,2018,8,17,43.0,114.66666666666667,87.0
上海,2018,8,17,31.0,22.21311475409836,120.0
乌鲁木齐,2018,8,20,44.0,69.03846153846153,87.0
青岛,2018,8,28,36.0,30.625,120.0
成都,2019,2,6,30.0,91.60344827586206,103.0
青岛,2019,2,22,36.0,124.95652173913044,119.0
乌鲁木齐,2019,2,14,43.0,108.44827586206897,87.0
天津,2019,1,29,38.0,137.74242424242425,117.0
厦门,2019,1,14,24.0,62.01428571428571,117.0
昆明,2019,2,7,24.0,34.6,102.0
青岛,2019,1,14,35.0,267.4791666666667,120.0
郑州,2019,2,3,35.0,95.14074074074074,112.0
